"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD test with steps","This will create a new category","ERROR","2022-06-09T22:00:42.202+01:00[Europe/London]","0.0","32.66"
"Categories CURD test with steps","Verify if the category was created","ERROR","2022-06-09T22:01:15.834+01:00[Europe/London]","0.0","5.78"
"Categories CURD test with steps","Update the category information and verify the updated information","ERROR","2022-06-09T22:01:21.670+01:00[Europe/London]","0.0","0.1"
"Categories CURD test with steps","Delete the category and verify if the category is deleted!","ERROR","2022-06-09T22:01:21.822+01:00[Europe/London]","0.0","0.05"
"Products CURD test with steps","This will create a new Product","ERROR","2022-06-09T22:00:42.200+01:00[Europe/London]","0.0","32.4"
"Products CURD test with steps","Verify if the product was added to the application","ERROR","2022-06-09T22:01:15.626+01:00[Europe/London]","0.0","5.19"
"Products CURD test with steps","Update the product information and verify the updated information","ERROR","2022-06-09T22:01:20.843+01:00[Europe/London]","0.0","4.97"
"Products CURD test with steps","Delete the product and verify if the product is deleted!","ERROR","2022-06-09T22:01:25.828+01:00[Europe/London]","0.0","5.08"
"Services CURD test with steps","This will create a new service","ERROR","2022-06-09T22:01:28.496+01:00[Europe/London]","0.0","4.65"
"Services CURD test with steps","Verify if the service was added","ERROR","2022-06-09T22:01:33.159+01:00[Europe/London]","0.0","4.72"
"Services CURD test with steps","Update the service information and verify the updated information","ERROR","2022-06-09T22:01:37.894+01:00[Europe/London]","0.0","5.0"
"Services CURD test with steps","Delete the service and verify if the service is deleted!","ERROR","2022-06-09T22:01:42.906+01:00[Europe/London]","0.0","4.2"
"Stores CURD test with steps","This will create a new Store","ERROR","2022-06-09T22:00:42.202+01:00[Europe/London]","0.0","32.79"
"Stores CURD test with steps","Verify if the store was added to the application","ERROR","2022-06-09T22:01:16.161+01:00[Europe/London]","0.0","5.38"
"Stores CURD test with steps","Update the store information and verify the updated information","ERROR","2022-06-09T22:01:21.559+01:00[Europe/London]","0.0","5.46"
"Stores CURD test with steps","Delete the stores and verify if the stores is deleted!","ERROR","2022-06-09T22:01:27.023+01:00[Europe/London]","0.0","5.01"
"Utilities CURD test with steps","This will get all HealthCheck","ERROR","2022-06-09T22:01:47.615+01:00[Europe/London]","0.0","4.26"
"Utilities CURD test with steps","This will get all version","ERROR","2022-06-09T22:01:51.882+01:00[Europe/London]","0.0","4.16"
